산업분야,자기자본비율,고정비율,유형자산비율,현금성자산비율,현금비율,부채비율,자기자본대비부채비율,유동비율,당좌비율
1,0.718,0.041067676,0.029485185,0.403,0.592,0.282034244,0.39282409,1.469408683,1.469301693
1,0.983,0,0,0.303,0.309,0.017006374,0.017300595,1.019693679,1.019693679
2,0.548,0.262973955,0.144240786,0.00782,0.00946,0.451501627,0.823159464,1.209338648,1.036810794
2,0.386,0.712585677,0.275377749,0.0218,0.0243,0.613551384,1.587666145,1.117428885,0.912984076
2,0.21,1.463313337,0.306699144,0.00586,0.00425,0.790407744,3.771168643,0.725560776,0.525973828
1,0.584,0.765672107,0.447448538,0.245,0.276,0.415613376,0.711195908,1.126809982,0.84635143
2,0.516,0.95184333,0.491173009,0.0086,0.00222,0.483594016,0.93646474,0.258239322,0.20902825
2,0.686,0.639335644,0.438792084,0.109,0.384,0.313674924,0.4570355,3.520217218,2.620346722
1,0.764,0.277672043,0.212149039,0.121,0.358,0.235223055,0.307571086,2.947535207,2.683366415
2,0.732,0.284632541,0.208448389,0.173,0.38,0.267657913,0.365482086,2.196452255,1.965491517
2,0.748,0.324422863,0.242679481,0.162,0.443,0.251965541,0.336836811,2.731460008,2.144351493
1,0.882,0.001213334,0.001069753,0.841,0.632,0.116823532,0.132277146,0.750905255,0.750905255
1,0.949,0.192766411,0.18284021,0.129,0.899,0.051493417,0.05428894,6.973560924,6.973560924
2,0.539,0.563869064,0.304069359,0.0367,0.0321,0.461633332,0.857469281,0.872238927,0.637491662
3,0.137,3.248167934,0.444771723,0.035,0.0192,0.862988243,6.298662612,0.547767932,0.542149691
2,0.829,0.16684099,0.138381801,0.453,1.68,0.169209651,0.203673085,3.698446213,3.422654152
2,0.776,0.393614885,0.305306102,0.212,0.449,0.224353261,0.289246702,2.115904886,1.432726567
1,0.704,0.278151261,0.195857988,0.197,0.48,0.297897285,0.424292846,2.441723601,2.440275319
2,0.592,0.592143532,0.350811944,0.0171,0.0281,0.407555897,0.687922952,1.646464863,1.605205354
0,0.867,0.087731061,0.076046957,0.11,0.22,0.133180921,0.153643274,2.001926674,1.17241487
2,0.589,0.756218905,0.445747801,0.176,0.209,0.410489761,0.696323377,1.188421189,0.745038813
3,0.709,0.788321168,0.558767834,0.0652,0.055,0.292708353,0.413844618,0.842848673,0.623023013
1,0.994,0.099485455,0.098927076,0.668,1.43,0.006784454,0.00683079,2.140879826,2.140879826
2,0.61,0.843698713,0.51444562,0.00558,0.00801,0.390249609,0.640015349,1.434152731,1.018508827
2,0.892,0.172668912,0.153968226,0.196,1.26,0.110301867,0.123977262,6.410486918,6.084987748
2,-0.458,-0.756868116,0.346688507,0.085,0.0253,1.45805403,-3.183130051,0.296362643,0.265405215
2,0.672,0.34626557,0.232654388,0.146,0.343,0.328104183,0.48832598,2.344728717,1.620729311
2,0.833,0.321535403,0.26791098,0.366,1.79,0.166776107,0.200157615,4.883308483,4.31339662
3,-0.219,-0.828358209,0.181669394,0.329,0.496,1.219401046,-5.557863413,1.509698641,1.477820791
2,0.607,1,0.607142857,0.0639,0.0732,0.392785601,0.646865722,1.148468547,0.759310397
2,0.588,0.481818182,0.28342246,0.272,0.35,0.41022525,0.695565255,1.287642093,0.906834732
1,-0.0935,-1.503480278,0.140563991,0.154,0.155,1.09340213,-11.70652968,1.006296766,1.006296766
1,0.367,0.540108256,0.198253919,0.389,2.27,0.6329367,1.72432575,5.834664351,4.915212837
1,0.47,0.470471846,0.221177999,0.255,0.3,0.5318907,1.136252719,1.176793082,1.176793082
2,0.391,1.09970429,0.430319628,0.000222,0.000217,0.608695145,1.555552243,0.979395878,0.541048794
2,0.486,1.606364678,0.780600694,0.00223,0.000963,0.512976161,1.053284406,0.432664893,0.27258255
1,0.789,0.027225135,0.021491794,0.154,0.288,0.210590006,0.266768863,1.866419854,1.866419854
1,0.591,0.019228259,0.011371208,0.261,0.591,0.408619999,0.690960123,2.261900841,2.199081055
2,0.764,0.71045399,0.542830376,0.283,0.477,0.235938732,0.308795566,1.680924924,0.838260227
1,0.75,0.082318566,0.061753351,0.988,3.56,0.249824747,0.333021845,3.604964356,3.604964356
3,0.585,0.091540094,0.053536728,0.082,0.157,0.415155416,0.709855963,1.915972528,1.915972528
0,0.634,0.003784856,0.002397784,0.207,0.437,0.366479453,0.578480768,2.109884098,2.046865113
1,0.863,0.219051271,0.189104104,0.0201,0.0505,0.136713046,0.158363388,2.513132888,1.374959468
2,0.449,0.395162692,0.177614449,0.317,0.352,0.550528295,1.224834152,1.11205731,1.050780753
2,0.362,0.996,0.361000362,0.0642,0.048,0.637260088,1.756783872,0.747690728,0.630505186
2,0.837,0.26155556,0.219033744,0.254,1.85,0.162572785,0.19413363,7.273153795,6.356281124
2,0.476,1.019230769,0.485253912,0.0228,0.0218,0.523208898,1.097352007,0.959440206,0.360862104
